2026 Program Calendar							
Date	Start Time	End Time	Event Type	Audience	Topic	Speaker	Description
Monday, August 10, 2026	7:00 PM	8:00 PM	Virtual	Public	Ventriq Launch Summit	Justin	
Tuesday, August 11, 2026	7:00 PM	8:00 PM	Virtual	Public	Ventriq Launch Summit	Guest	
Thursday, August 13, 2026	7:00 PM	8:00 PM	Virtual	Public	Ventriq Launch Summit	Guest	
Friday, August 14, 2026	7:00 PM	8:00 PM	Virtual	Public	Ventriq Launch Summit	Guest	
Monday, August 17, 2026	7:00 PM	8:00 PM	Virtual	Public	Ventriq Launch Summit	Guest	
Tuesday, August 18, 2026	7:00 PM	8:00 PM	Virtual	Public	Ventriq Launch Summit	Guest	
Thursday, August 20, 2026	7:00 PM	8:00 PM	Virtual	Public	Ventriq Launch Summit	Guest	
Friday, August 21, 2026	7:00 PM	8:00 PM	Virtual	Public	Ventriq Launch Summit	TBD	
Monday, August 24, 2026	6:30 PM	8:00 PM	In Person	FAH	Founder After Hours	Chapter Head	(Ideally every 3rd -4th Monday of the month)
Wednesday, September 9, 2026	7:00 PM	8:00 PM	Virtual	FAH	FAH Monthly Webinar	Justin	1st Wednesday of the Month. Announcing the focus of the month with an overview
Monday, September 14, 2026	6:15 PM	7:00 PM	Virtual	Public	How to Run A Profitable Business	Justin	Helping first time founders determine how to manage a profitable business.
Monday, September 21, 2026	6:30 PM	8:00 PM	In Person	FAH	Founder After Hours	Chapter Head	(Ideally every 3rd -4th Monday of the month)
Saturday, September 26, 2026	6:00 PM	8:00 PM	In Person	Cohort MM Members	Ventriq Mastermind		
Saturday, September 26, 2026	6:00 PM	8:00 PM	In Person	Cohort MM Members	Ventriq Mastermind		If the 1st mastermind is filled.
Monday, September 28, 2026	6:15 PM	7:00 PM	Virtual	Public	How to Run A Profitable Business	Justin	Helping first time founders determine how to manage a profitable business.
Saturday, October 3, 2026	8:30 AM	10:30 AM	Virtual	Cohort MM Members	Ventriq Mastermind		
Saturday, October 3, 2026	11:00 AM	1:00 PM	Virtual	Cohort MM Members	Ventriq Mastermind		If the 1st mastermind is filled.
Wednesday, October 7, 2026	7:00 PM	8:00 PM	Virtual	FAH	FAH Monthly Webinar	Justin & SME	1st Wednesday of the Month. Announcing the focus of the month with an overview
Saturday, October 10, 2026	8:30 AM	10:30 AM	Virtual	Cohort MM Members	Ventriq Mastermind		
Saturday, October 10, 2026	11:00 AM	1:00 PM	Virtual	Cohort MM Members	Ventriq Mastermind		If the 1st mastermind is filled.
Monday, October 12, 2026	6:15 PM	7:00 PM	Virtual	Public	How to Run A Profitable Business	Justin	Helping first time founders determine how to manage a profitable business.
Saturday, October 17, 2026	8:30 AM	10:30 AM	in Person	Cohort MM Members	Ventriq Mastermind		
Saturday, October 17, 2026	11:00 AM	1:00 PM	in Person	Cohort MM Members	Ventriq Mastermind		If the 1st mastermind is filled.
Monday, October 19, 2026	6:30 PM	8:00 PM	In Person	FAH	Founder After Hours	Chapter Head	(Ideally every 3rd -4th Monday of the month)
Saturday, October 24, 2026	8:30 AM	10:30 AM	Virtual	Cohort MM Members	Ventriq Mastermind		
Saturday, October 24, 2026	11:00 AM	1:00 PM	Virtual	Cohort MM Members	Ventriq Mastermind		If the 1st mastermind is filled.
Monday, October 26, 2026	6:15 PM	7:00 PM	Virtual	Public	How to Run A Profitable Business	Justin	Helping first time founders determine how to manage a profitable business.
Saturday, October 31, 2026	8:30 AM	10:30 AM	Virtual	Cohort MM Members	Ventriq Mastermind		
Saturday, October 31, 2026	11:00 AM	1:00 PM	Virtual	Cohort MM Members	Ventriq Mastermind		If the 1st mastermind is filled.
Wednesday, November 4, 2026	7:00 PM	8:00 PM	Virtual	FAH	FAH Monthly Webinar	Justin & SME	1st Wednesday of the Month. Announcing the focus of the month with an overview
Saturday, November 7, 2026	8:30 AM	10:30 AM	Virtual	Cohort MM Members	Ventriq Mastermind		
Saturday, November 7, 2026	11:00 AM	1:00 PM	Virtual	Cohort MM Members	Ventriq Mastermind		If the 1st mastermind is filled.
Monday, November 9, 2026	6:15 PM	7:00 PM	Virtual	Public	How to Run A Profitable Business	Justin	Helping first time founders determine how to manage a profitable business.
Saturday, November 14, 2026	8:30 AM	10:30 AM	In Person	Cohort MM Members	Ventriq Mastermind		
Saturday, November 14, 2026	11:00 AM	1:00 PM	In Person	Cohort MM Members	Ventriq Mastermind		If the 1st mastermind is filled.
Monday, November 16, 2026	6:30 PM	8:00 PM	In Person	FAH	Founder After Hours	Chapter Head	(Ideally every 3rd -4th Monday of the month)
Saturday, November 21, 2026	8:30 AM	10:30 AM	In Person	Cohort MM Members	Ventriq Mastermind		
Saturday, November 21, 2026	11:00 AM	1:00 PM	In Person	Cohort MM Members	Ventriq Mastermind		If the 1st mastermind is filled.
Monday, November 23, 2026	6:15 PM	7:00 PM	Virtual	Public	How to Run A Profitable Business	Justin	Helping first time founders determine how to manage a profitable business.
Wednesday, December 2, 2026	7:00 PM	8:00 PM	Virtual	FAH	FAH Monthly Webinar	Justin & SME	1st Wednesday of the Month. Announcing the focus of the month with an overview
Saturday, December 5, 2026	12:00 PM	2:30 PM	In Person	Public, Cohort MM Members	Mastermind Graduation	Justin	
Saturday, December 5, 2026	12:00 PM	2:30 PM	In Person	Cohort MM Members, Public	Mastermind Graduation	Justin	
Monday, December 14, 2026	6:30 PM	8:00 PM	In Person	FAH	Founder After Hours	Chapter Head	(Ideally every 3rd -4th Monday of the month)
