Date	Time	Session/Topic	Speaker(s)	One Line Desc.	Description
8/10	6:00 - 6:15	Tech & Speaker Check			
	6:25 - 6:30	Attendees Join Session			
	6:30 - 6:50	Welcome & Founder's Exchange			
	6:50 - 7:50	The Weight and the Vision: A Fireside Conversation on Leading from the Inside Out		The world sees the vision. Few understand the weight.	Every founder carries two realities: the one the world sees, and the one they hold in private. On our opening night, Justin D. Expect real talk, breakout rooms to reflect alongside fellow founders, and a chance to bring your own questions to the fire.— president and COO of a global organization spanning 120+ locations — and Teddy, a leadership coach, founder, and author, sit down for an honest conversation about the pressures founders rarely name, the opportunities hidden in hard seasons, and the discernment to know which door to walk through, and when.
	7:50 - 8:00	Close Out & Next Session			
8/11/2026	6:00 - 6:15	Tech & Speaker Check			
	6:25 - 6:30	Attendees Join Session			
	6:30 - 6:45	Day 2 Intro & Founder's Exchange			
	6:45 - 7:50	The Art of Desire: Building a Brand That Commands the Room		Build a brand that isn't just seen — it's sought.	A brand is not what you announce — it is what makes the right people move toward you. Led by STATUS Branding, this working session is an invitation to build with intention: to know precisely who you serve, to shape a message that resonates with them alone, and to cultivate an identity that is not merely seen, but sought. Through guided breakouts and candid exchange, you will apply these principles to your own venture in real time — refining the way your audience perceives, remembers, and desires what you've built. Come prepared to think sharply, share openly, and leave with a brand that commands its space.
	7:50 - 8:00	Close Out & Next Session			
8/12/2026	6:00 - 6:15	Tech & Speaker Check			
	6:25 - 6:30	Attendees Join Session			
	6:30 - 6:45	Day 3 Intro & Founder's Exchange			
	6:45 - 7:50	Renowned: The Art of Influence, Press & Becoming a Movement		Anyone can be seen. Few become a movement.	Some brands get noticed. A rare few become movements. This panel brings together a marketing consultant, a founder who Expect candid stories, tactical breakdowns, and live Q&A — so you leave knowing not just why some brands command attention, but how to build one that does.has built a devoted following, and two PR experts to unpack how it actually happens — from architecting a marketing funnel that converts, to cultivating the "IT" factor that turns customers into believers, to borrowing credibility from the right voices to elevate your name faster than you could alone.
	7:50 - 8:00	Close Out & Next Session			
8/13/2026	6:00 - 6:15	Tech & Speaker Check			
	6:25 - 6:30	Attendees Join Session			
	6:30 - 6:45	Day 4 Intro & Founder's Exchange			
	6:45 - 7:50	The Rainmaker's Craft: Turning Passion Into Profit		Passion builds the product. Craft sells it.	Most founders don't have a sales process — they have a love for what they've built. But passion alone doesn't fill a pipeline. In this session, our panel Most founders don't have a sales process — they have a love for what they've built. But passion alone doesn't fill a pipeline. In this session, our panel breaks down how to sell with intention and confidence: building a pipeline that stays full, delivering a presentation that moves people, handling objections without losing your footing, and turning a single sale into lasting loyalty long after the deal is done. Whether you're preparing to launch or ready to accelerate, you'll leave with the mindset and mechanics to sell like the founder your business needs you to be — with live Q&A to pressure-test it against your own venture.breaks down how to sell with intention and confidence: building a pipeline that stays full, delivering a presentation that moves people, handling objections without losing your footing, and turning a single sale into lasting loyalty long after the deal is done.
	7:50 - 8:00	Close Out & Week Recap			
8/17/2026	6:00 - 6:15	Tech & Speaker Check			
	6:25 - 6:30	Attendees Join Session			
	6:30 - 6:45	Day 5 Intro & Founder's Exchange			
	6:45 - 7:50	The Modern Advantage: Tech, AI & Doing More With Les			The tools to build, automate, and scale have never been more powerful — or more overwhelming. Most founders know AI and technology could transform their business, but don't know which tools matter or where to begin. This panel cuts through the noise. Our experts reveal how today's founders use tech and AI as a genuine advantage — streamlining the work that drains them, automating what shouldn't require their time, and scaling in ways that once demanded a full team.
	7:50 - 8:00	Close Out & Week Recap			
8/18/2026	6:00 - 6:15	Tech & Speaker Check			
	6:25 - 6:30	Attendees Join Session			
	6:30 - 6:45	Day 6 Intro & Founder's Exchange			
	6:45 - 7:50	Capital & Command: Mastering Business Finances and Funding		Capital isn't just raised — it's managed, chosen, and commanded.	Most founders build something they believe in — then hit the wall of what it costs to grow it. This panel demystifies the money side of the business: how to manage your finances with discipline, read the numbers that actually matter, and fund your vision through the full range of options available to you — from grants and non-dilutive tools to strategic investment and beyond. You'll leave understanding not just how to keep your business financially sound, but how to choose the right capital for the right moment — with live You'll leave understanding not just how to keep your business financially sound, but how to choose the right capital for the right moment — with live Q&A to bring your own funding questions to the table. Q&A to bring your own funding questions to the table.
	7:50 - 8:00	Close Out & Week Recap			
8/20/2026	6:00 - 6:15	Tech & Speaker Check			
	6:25 - 6:30	Attendees Join Session			
	6:30 - 6:45	Day 7 Intro & Founder's Exchange			
	6:45 - 7:50	The Endgame: Preparing for an Exit Before You Need One		The best exits are built long before they're taken.	Most founders never think about the exit — until they're forced to. But the most valuable businesses are built with the end in mind from the very beginning. This panel brings together voices from private equity, seasoned operators who have executed business sales and acquisitions, and an M&A attorney to reveal what it truly takes to prepare for an exit — and why it matters even if you never intend to sell. You'll learn how thinking like an eventual seller makes you a sharper founder today: building cleaner operations, stronger value, and more optionality for whatever future you choose. Come with your questions — this is a rare chance to see your business through the eyes of those who buy, sell, and value them.
	7:50 - 8:00	Close Out & Week Recap			
8/21/2026	6:00 - 6:15	Tech & Speaker Check			
	6:25 - 6:30	Attendees Join Session			
	6:30 - 6:45	Day 8 Intro & Founder's Exchange			
	6:45 - 7:50	The End of the Beginning: The Real Cost & Reward of Building		The summit ends. The building begins.	This is the end of the summit — but the beginning of everything that comes next. Over eight nights you've gathered the insight, the strategy, and the community. Now the work becomes execution. On our final night, a panel of founders who have done it all share the unfiltered truth about building a business: what it genuinely cost them, what they'd do differently, and what the payoff has become. Then we close together, as Justin brings the summit home — reflecting on the journey of these eight nights and casting the vision for what's next: how to carry this momentum forward, keep building along
	7:50 - 8:00	Close Out & Week Recap			
